,AR ID (string),Landfall Datetime,Max ERM,Max IVT,Max MJO LPT Vol. Rain,End Season Year,Month,AR ID (Number)
18,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00488.5000.nc,2001-01-20T14:00:00,0.7089890241622925,1423.8566,75697832.0,2000,1.0,488.5
19,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00513.1000.nc,2001-01-23T12:00:00,0.920125424861908,1188.587,112133896.0,2000,1.0,513.1
20,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00515.2000.nc,2001-01-26T13:00:00,0.7529923915863037,1729.221,221347632.0,2000,1.0,515.2
21,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00561.3000.nc,2001-02-28T13:00:00,1.353130578994751,1385.7318,276198048.0,2000,2.0,561.3
22,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00561.5000.nc,2001-03-04T07:00:00,3.0546274185180664,763.3534,235148224.0,2000,3.0,561.5
23,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00638.0600.nc,2001-04-29T09:00:00,1.1254520416259766,1488.7063,120487304.0,2000,4.0,638.06
24,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00681.1000.nc,2001-04-16T05:00:00,0.7460227012634277,701.0573,69281984.0,2000,4.0,681.1
25,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00814.1000.nc,2001-06-21T05:00:00,0.1850082278251648,1412.6731,474432288.0,2000,6.0,814.1
26,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2000060100_2001063023/lpt_system_mask_ar.lptid00828.1000.nc,2001-06-25T00:00:00,0.8951943516731262,1675.2844,476045952.0,2000,6.0,828.1
27,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00036.1000.nc,2001-06-21T05:00:00,0.1850082278251648,1412.6731,474432288.0,2001,6.0,36.1
28,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00050.1000.nc,2001-06-25T00:00:00,0.8951943516731262,1675.2844,476045952.0,2001,6.0,50.1
29,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.0900.nc,2001-09-24T23:00:00,0.6329020261764526,1158.5227,84552144.0,2001,9.0,206.09
30,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1300.nc,2001-09-29T21:00:00,0.2218492329120636,1162.38,202759840.0,2001,10.0,206.13
31,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1500.nc,2001-10-07T16:00:00,0.3100703060626983,1587.4073,194690448.0,2001,10.0,206.15
32,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00206.1600.nc,2001-10-07T18:00:00,0.809829831123352,2456.4062,194690448.0,2001,10.0,206.16
33,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00254.1000.nc,2001-09-30T15:00:00,0.2218492329120636,2041.922,215979760.0,2001,9.0,254.1
34,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00318.1000.nc,2001-10-29T22:00:00,0.7827982902526855,969.2967,40315828.0,2001,10.0,318.1
35,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.0400.nc,2001-11-13T14:00:00,1.4216259717941284,1996.5253,166606080.0,2001,11.0,329.04
36,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.0500.nc,2001-11-10T21:00:00,1.162572741508484,918.55743,166606080.0,2001,11.0,329.05
37,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00329.0700.nc,2001-11-19T02:00:00,1.1007825136184692,1742.9819,285586240.0,2001,11.0,329.07
38,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00420.1000.nc,2001-12-18T13:00:00,1.1305198669433594,1725.4662,331007232.0,2001,12.0,420.1
39,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00429.1000.nc,2001-12-22T10:00:00,1.048283576965332,1521.5402,380304064.0,2001,12.0,429.1
40,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00436.4000.nc,2002-01-05T07:00:00,1.428849458694458,1936.2943,307062720.0,2001,1.0,436.4
41,/home/orca/bkerns/projects/mjo_lpt_and_ar/tracking/lpt-python-public/ar.testing7.merge_split/data/ar/g0_0h/thresh1/systems/2001060100_2002063023/lpt_system_mask_ar.lptid00436.6000.nc,2002-01-05T05:00:00,1.428849458694458,1258.6697,307062720.0,2001,1.0,436.6
