,AR ID,Date,Landfall?
26,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00009.1800.nc,2004-08-20T16:00:00,True
27,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00142.1000.nc,2004-11-12T23:00:00,True
28,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00148.1000.nc,2004-11-14T07:00:00,True
29,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2005050100_2006043023/lpt_system_mask_AR.lptid00156.1000.nc,2005-10-30T19:00:00,True
30,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2005050100_2006043023/lpt_system_mask_AR.lptid00157.1000.nc,2005-11-05T22:00:00,True
31,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2006050100_2007043023/lpt_system_mask_AR.lptid00021.1000.nc,2006-05-31T18:00:00,True
32,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2006050100_2007043023/lpt_system_mask_AR.lptid00136.1000.nc,2006-11-03T22:00:00,True
33,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2006050100_2007043023/lpt_system_mask_AR.lptid00136.2000.nc,2006-11-02T10:00:00,True
34,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2006050100_2007043023/lpt_system_mask_AR.lptid00144.1000.nc,2006-11-10T11:00:00,True
35,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2006050100_2007043023/lpt_system_mask_AR.lptid00263.1000.nc,2007-04-13T09:00:00,True
