,AR ID,Date,Max ERM
422,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2016050100_2017043023/lpt_system_mask_AR.lptid00205.1000.nc,2016-12-27T01:00:00,0.69884205
423,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2016050100_2017043023/lpt_system_mask_AR.lptid00216.1000.nc,2017-01-10T12:00:00,3.3709335
424,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2016050100_2017043023/lpt_system_mask_AR.lptid00237.1000.nc,2017-02-05T12:00:00,2.725951
425,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2017050100_2018043023/lpt_system_mask_AR.lptid00147.1000.nc,2017-11-15T15:00:00,1.711499
426,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2018050100_2019043023/lpt_system_mask_AR.lptid00175.1000.nc,2018-12-23T01:00:00,1.5850143
427,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2018050100_2019043023/lpt_system_mask_AR.lptid00222.1000.nc,2019-02-13T19:00:00,4.362341
428,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2018050100_2019043023/lpt_system_mask_AR.lptid00228.1000.nc,2019-02-24T11:00:00,2.2145932
429,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2018050100_2019043023/lpt_system_mask_AR.lptid00246.1000.nc,2019-03-22T12:00:00,1.0168762
430,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2019050100_2020043023/lpt_system_mask_AR.lptid00172.1000.nc,2019-12-01T03:00:00,2.1366565
431,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2019050100_2020043023/lpt_system_mask_AR.lptid00274.1000.nc,2020-03-30T06:00:00,1.0582184
432,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2020050100_2021043023/lpt_system_mask_AR.lptid00183.1000.nc,2020-12-25T10:00:00,1.0049598
433,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2020050100_2021043023/lpt_system_mask_AR.lptid00221.1000.nc,2021-02-12T17:00:00,1.2734747
434,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2020050100_2021043023/lpt_system_mask_AR.lptid00222.1000.nc,2021-02-11T16:00:00,1.2734747
435,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2000050100_2001043023/lpt_system_mask_AR.lptid00220.1000.nc,2001-02-24T11:00:00,2.24751
436,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2001050100_2002043023/lpt_system_mask_AR.lptid00166.1000.nc,2001-12-23T09:00:00,0.8959808
437,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2002050100_2003043023/lpt_system_mask_AR.lptid00236.1000.nc,2003-02-11T07:00:00,2.530979
438,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2003050100_2004043023/lpt_system_mask_AR.lptid00179.2000.nc,2003-12-23T11:00:00,0.79226905
439,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2003050100_2004043023/lpt_system_mask_AR.lptid00257.1000.nc,2004-03-25T12:00:00,0.63946
440,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2003050100_2004043023/lpt_system_mask_AR.lptid00257.3000.nc,2004-03-25T12:00:00,0.63946
441,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00196.1000.nc,2005-01-08T07:00:00,3.8032672
442,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00227.1000.nc,2005-02-13T00:00:00,1.5104856
443,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2004050100_2005043023/lpt_system_mask_AR.lptid00237.1000.nc,2005-03-01T23:00:00,1.3297246
444,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2005050100_2006043023/lpt_system_mask_AR.lptid00062.1000.nc,2005-07-19T15:00:00,0.531785
445,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2005050100_2006043023/lpt_system_mask_AR.lptid00256.1000.nc,2006-03-05T08:00:00,1.5260485
446,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2007050100_2008043023/lpt_system_mask_AR.lptid00062.1000.nc,2007-07-20T17:00:00,0.62689316
447,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2007050100_2008043023/lpt_system_mask_AR.lptid00211.1000.nc,2008-02-21T19:00:00,1.7223014
448,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2007050100_2008043023/lpt_system_mask_AR.lptid00245.3000.nc,2008-03-28T20:00:00,0.4783709
449,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2010050100_2011043023/lpt_system_mask_AR.lptid00068.0500.nc,2010-08-16T06:00:00,0.41377223
450,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2010050100_2011043023/lpt_system_mask_AR.lptid00068.1200.nc,2010-08-16T06:00:00,0.41377223
451,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2010050100_2011043023/lpt_system_mask_AR.lptid00279.1000.nc,2011-04-25T05:00:00,0.9847088
452,/home/disk/orca/csmall3/AR_testing_research/LPT_ARs/hourly_res/5N_5S_AR_outputs/data/AR/g0_0h/thresh1/systems/2011050100_2012043023/lpt_system_mask_AR.lptid00082.1000.nc,2011-09-05T12:00:00,0.9080097
